quote,author,tags
"
      “It's no good pretending that any relationship has a future if your record collections disagree violently or if your favorite films wouldn't even speak to each other if they met at a party.”
  ","
    Nick Hornby
  ","films,music,relationships"
"
      “Make your mistakes, take your chances, look silly, but keep on going. Don’t freeze up.”
  ","
    Thomas Wolfe,
  ",
"
      “I must have loved you a lot.”
  ","
    Suzanne Collins,
  ","mockingjay,peeta-mellark"
"
      “There is only one good, knowledge, and one evil, ignorance.”
  ","
    Socrates
  ",
"
      “Black holes are where God divided by zero.”
  ","
    Albert Einstein
  ",humor
"
      “Courage is found in unlikely places.”
  ","
    J.R.R. Tolkien
  ","bravery,courage"
"
      “Nothing great in the world was accomplished without passion.”
  ","
    Georg Wilhelm Friedrich Hegel
  ",
"
      “The more one judges, the less one loves.”
  ","
    Honoré de Balzac,
  ","human-nature,love"
"
      “There's nowhere you can be that isn't where you're meant to be...”
  ","
    John Lennon
  ","beatles,destiny,fate,life"
"
      “I don’t trust anybody. Not anybody. And the more that I care about someone, the more sure I am they’re going to get tired of me and take off.”
  ","
    Rainbow Rowell,
  ","fear,friendship,tired,trust"
"
      “I was dead until you found me, though I breathed. I was sightless, though I could see. And then you came...and I was awakened.”
  ","
    J.R. Ward,
  ",zsadist
"
      “Treat everyone with politeness and kindness, not because they are nice, but because you are.”
  ","
    Roy T. Bennett,
  ","inspiration,inspirational,inspirational-quotes,kind,kindness,life,life-quotes,living-life"
"
      “The happiness of your life depends upon the quality of your thoughts.”
  ","
    Marcus Aurelius,
  ",happiness
"
      “I'm happy. Which often looks like crazy.”
  ","
    David Henry Hwang,
  ",happiness
"
      “Dignity","
    Shannon L. Alder
  ",
"
      “Books serve to show a man that those original thoughts of his aren't very new after all.”
  ","
    Abraham Lincoln
  ","books,originality,unique"
"
      “Some things in life are out of your control. You can make it a party or a tragedy.”
  ","
    Nora Roberts,
  ",
"
      “You are okay?"" he asked. ""Not eaten by monsters?""","
    Rick Riordan,
  ","annabeth-chase,olympians,peanut-butter,percy-jackson,tyson"
"
      “I decided it is better to scream. Silence is the real crime against humanity.”
  ","
    Nadezhda Mandelstam,
  ","silence,voice"
"
      “The more clearly we can focus our attention on the wonders and realities of the universe about us, the less taste we shall have for destruction.”
  ","
    Rachel Carson
  ","destruction,ecology,reality,universe,wonder"
"
      “District 12: Where you can starve to death in safety.”
  ","
    Suzanne Collins,
  ",young-adult-fiction
"
      “Shoot for the moon. Even if you miss, you'll land among the stars.”
  ","
    Norman Vincent Peale
  ",inspirational
"
      “Don't let the muggles get you down.”
  ","
    J.K. Rowling,
  ","encouragement,muggles,wit"
"
      “I just want to be wonderful.”
  ","
    Marilyn Monroe
  ",marilyn-monroe
"
      “I think and think and think, I‘ve thought myself out of happiness one million times, but never once into it.”
  ","
    Jonathan Safran Foer
  ","happiness,thinking,wisedom"
"
      “there is a place in the heart that","
    Charles bukowski
  ","death,inspirational"
"
      “Five exclamation marks, the sure sign of an insane mind.”
  ","
    Terry Pratchett,
  ","books,humor"
"
      “People think it must be fun to be a super genius, but they don't realize how hard it is to put up with all the idiots in the world.”
  ","
    Bill Watterson,
  ","idiots,life-humor"
"
      “You know it's never fifty-fifty in a marriage. It's always seventy-thirty, or sixty-forty. Someone falls in love first. Someone puts someone else up on a pedestal. Someone works very hard to keep things rolling smoothly; someone else sails along for the ride.”
  ","
    Jodi Picoult,
  ","inequality,love,marriage"
"
      “Black hair and blue eyes are my favorite combination.”
  ","
    Cassandra Clare,
  ",magnus-bane
"
      “No great mind has ever existed without a touch of madness.”
  ","
    Aristotle
  ","aristotle,genius,great-minds,madness"
"
      “The Voice","
    Shel Silverstein
  ","books,inner-voice,leaders,parents,right,teachers,true-to-self,wring"
"
      “Your visions will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.”
  ","
    C.G. Jung
  ","introspection,psychotherapist,secrets,self-awareness,visions"
"
      “My fault, my failure, is not in the passions I have, but in my lack of control of them.”
  ","
    Jack Kerouac
  ","failure,passion"
